Seed 	 Nb Nodes 	 Nb altruists 	 Nb pairs 	 Nb arcs 	 Nb arcs PRA80 	 Nb Cycles 	Nb Chains 	 Nb Cycles and Chains 	Max node fail 	 Max arc fail 	 Max arc PRA80 fail 	Node weight PRA0_80 	 Node weigt PRA80_100 	L Cycle 	 L Chain 	 Obj value 	 First stage obj value 	Matching ub 	Nb matches det 	 Nb matches RE 	 Nb PRA80 det 	 Nb PRA80 RE 	Nb transplants det 	 Nb transplants recourse 	 Nb transplants PRA80 det 	 Nb transplants PRA80 recourse 	Total time 	 Scenarios generated 	 Solution values and adversary values
0	20	1	19	72	2	6	13	19	0	0	0	1	1	3	4	6	6	7	6	7	0	0				0.1160022	1	6	6	
1	20	1	19	70	1	13	0	13	0	0	0	1	1	3	4	7	7	7	7	7	1	1				0.012997	1	7	7	
2	20	1	19	82	5	37	1	38	0	0	1	1	1	3	4	7	10	11	10	11	2	2				0.0360001	2	10	7	7	7	
3	20	2	18	106	3	13	163	176	0	0	0	1	1	3	4	8	8	10	8	10	0	0				0.0509964	1	8	8	
4	20	0	20	127	0	113	0	113	0	0	0	1	1	3	4	12	12	12	12	12	0	0				0.0280086	1	12	12	
5	20	0	20	45	0	19	0	19	0	0	0	1	1	3	4	3	3	3	3	3	0	0				0.0149973	1	3	3	
6	20	0	20	73	1	16	0	16	0	0	0	1	1	3	4	7	7	7	7	7	1	1				0.0219962	1	7	7	
7	20	1	19	106	1	33	47	80	0	0	0	1	1	3	4	9	9	9	9	9	1	1				0.0410011	1	9	9	
8	20	3	17	84	1	47	429	476	0	0	0	1	1	3	4	10	10	12	10	12	1	1				0.0529991	1	10	10	
9	20	0	20	101	1	64	0	64	0	0	0	1	1	3	4	9	9	9	9	9	1	1				0.0230014	1	9	9	
10	20	1	19	78	2	26	31	57	0	0	0	1	1	3	4	5	5	6	5	6	1	1				0.019001	1	5	5	
11	20	1	19	139	3	64	429	493	0	0	0	1	1	3	4	11	11	12	11	12	1	1				0.0559996	1	11	11	
