Seed 	 Nb Nodes 	 Nb altruists 	 Nb pairs 	 Nb arcs 	 Nb arcs PRA80 	 Nb Cycles 	Nb Chains 	 Nb Cycles and Chains 	Max node fail 	 Max arc fail 	 Max arc PRA80 fail 	Node weight PRA0_80 	 Node weigt PRA80_100 	L Cycle 	 L Chain 	 Obj value 	 First stage obj value 	Matching ub 	Nb matches det 	 Nb matches RE 	 Nb PRA80 det 	 Nb PRA80 RE 	Nb transplants det 	 Nb transplants recourse 	 Nb transplants PRA80 det 	 Nb transplants PRA80 recourse 	Total time 	 Scenarios generated 	 Solution values and adversary values
0	20	1	19	72	2	6	23	29	1	0	0	1	1	3	5	6	3	0	0	0	0	0	0	0	0	0	0	0	0	
1	20	1	19	70	1	13	0	13	1	0	0	1	1	3	5	7	2	1	0	0	0	0	0	0	0	0	0	0	0	
2	20	1	19	82	5	37	1	38	1	0	0	1	1	3	5	10	0	3	0	1	0	0	0	0	0	0	0	0	0	
3	20	2	18	106	3	13	376	389	1	0	0	1	1	3	5	8	1	0	0	0	1	0	0	0	0	0	0	0	0	
4	20	0	20	127	0	113	0	113	1	0	0	1	1	3	5	12	6	0	0	0	0	0	0	0	0	0	0	0	0	
5	20	0	20	45	0	19	0	19	1	0	0	1	1	3	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	
6	20	0	20	73	1	16	0	16	1	0	0	1	1	3	5	7	2	1	0	0	0	0	0	0	0	0	0	0	0	
7	20	1	19	106	1	33	114	147	1	0	0	1	1	3	5	9	0	2	0	0	0	1	0	0	0	0	0	0	0	
8	20	3	17	84	1	47	1533	1580	1	0	0	1	1	3	5	10	3	1	0	1	0	0	0	0	0	0	0	0	0	
9	20	0	20	101	1	64	0	64	1	0	0	1	1	3	5	10	2	2	0	0	0	0	0	0	0	0	0	0	0	
10	20	1	19	78	2	26	85	111	1	0	0	1	1	3	5	7	0	1	0	0	0	0	0	0	0	0	0	0	0	
11	20	1	19	139	3	64	1984	2048	1	0	0	1	1	3	5	12	1	2	0	0	0	0	0	0	0	0	0	0	0	
12	20	1	19	119	8	52	1743	1795	1	0	0	1	1	3	5	16	0	4	0	0	0	0	0	0	0	0	0	0	0	
13	20	0	20	106	8	20	0	20	1	0	0	1	1	3	5	12	3	2	0	0	0	0	0	0	0	0	0	0	0	
14	20	2	18	69	1	1	100	101	1	0	0	1	1	3	5	7	0	0	0	0	0	1	0	0	0	0	0	0	0	
15	20	1	19	84	1	0	8	8	1	0	0	1	1	3	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	
16	20	1	19	91	4	12	165	177	1	0	0	1	1	3	5	7	1	1	0	0	1	0	0	0	0	0	0	0	0	
17	20	1	19	47	2	0	0	0	1	0	0	1	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	20	0	20	128	1	47	0	47	1	0	0	1	1	3	5	9	3	1	0	0	0	0	0	0	0	0	0	0	0	
19	20	0	20	79	1	0	0	0	1	0	0	1	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
